tick,true_log_vol,true_vol,true_hypo,return,is_outlier,outlier_sigma,est_log_vol,est_vol,vol_std,est_hypo,weight_calm,weight_trend,weight_crisis,ess,min_weight,outlier_frac,learned_mu,learned_sigma,latency_us
2277,-3.386035,0.033843,1,-0.01064924,0,0.0,-3.431152,0.033649,0.273966,0,0.7394,0.2250,0.0356,319.11,0.0000,0.0135,-4.0050,0.0485,57.80
2278,-3.141174,0.043232,1,0.01528662,0,0.0,-3.482208,0.031968,0.274058,0,0.7478,0.2177,0.0344,305.35,0.0000,0.0099,-4.0050,0.0485,45.60
2279,-3.183187,0.041453,1,-0.01595786,0,0.0,-3.530401,0.030448,0.272816,0,0.7670,0.2072,0.0259,292.58,0.0000,0.0091,-5.0025,0.0522,40.20
2280,-3.350646,0.035062,1,0.01958795,0,0.0,-3.564051,0.029412,0.269268,0,0.7871,0.1906,0.0223,282.55,0.0000,0.0079,-5.0025,0.0522,39.50
2281,-3.348653,0.035132,1,-0.01869166,0,0.0,-3.597525,0.028424,0.266648,0,0.7743,0.2049,0.0208,272.84,0.0000,0.0079,-5.0025,0.0522,61.20
2282,-3.286203,0.037396,1,-0.00146195,0,0.0,-3.661875,0.026720,0.275527,0,0.7793,0.1940,0.0267,259.33,0.0000,0.0511,-5.0025,0.0522,61.50
2283,-3.162893,0.042303,1,-0.01936691,0,0.0,-3.682409,0.026144,0.270740,0,0.7752,0.1993,0.0255,252.25,0.0000,0.0077,-5.0273,0.0502,58.60
2284,-3.354788,0.034917,1,0.04267228,0,0.0,-3.532662,0.030789,0.301983,0,0.7076,0.2093,0.0831,504.60,0.0000,0.0109,-5.0273,0.0502,38.40
2285,-3.021975,0.048705,1,0.03621732,0,0.0,-3.490979,0.032165,0.303650,0,0.6954,0.2289,0.0758,502.79,0.0000,0.0085,-5.0273,0.0502,38.40
2286,-2.931933,0.053294,1,-0.07913070,0,0.0,-3.113060,0.049215,0.418527,1,0.4496,0.2818,0.2686,283.76,0.0000,0.0314,-3.0692,0.0837,40.30
2287,-3.269033,0.038043,1,0.00529492,0,0.0,-3.248055,0.042364,0.377142,1,0.5459,0.3034,0.1507,407.38,0.0000,0.0329,-3.0692,0.0837,38.40
2288,-3.128655,0.043777,1,0.03157924,0,0.0,-3.292160,0.039924,0.342774,0,0.5950,0.2996,0.1054,437.36,0.0000,0.0088,-5.0273,0.0502,61.30
2289,-2.951017,0.052286,1,0.06709620,0,0.0,-3.114742,0.048388,0.380206,1,0.5017,0.3272,0.1711,347.43,0.0000,0.0145,-3.0692,0.0837,38.60
2290,-3.334573,0.035630,1,-0.00846248,0,0.0,-3.227760,0.042423,0.334916,1,0.5865,0.3122,0.1013,396.68,0.0000,0.0219,-3.0692,0.0837,38.50
2291,-3.252396,0.038681,1,0.05366262,0,0.0,-3.167867,0.045010,0.334855,1,0.5814,0.3101,0.1085,366.13,0.0000,0.0099,-3.0692,0.0837,38.40
