tick,true_log_vol,true_vol,true_hypo,return,is_outlier,outlier_sigma,est_log_vol,est_vol,vol_std,est_hypo,weight_calm,weight_trend,weight_crisis,ess,min_weight,outlier_frac,learned_mu,learned_sigma,latency_us
3826,-0.959945,0.382914,2,-0.92389225,0,0.0,-0.644395,0.588074,0.279317,0,0.3581,0.3395,0.3024,496.82,0.3024,0.0632,-4.5000,0.1500,164.40
3827,-1.317902,0.267696,2,-0.05197972,0,0.0,-1.062396,0.421910,0.271847,2,0.2909,0.3315,0.3776,469.56,0.2909,0.0500,-2.8061,0.3894,165.00
3828,-0.697614,0.497772,2,-0.48807255,0,0.0,-0.805649,0.503930,0.249289,1,0.3375,0.3434,0.3191,494.14,0.3191,0.0232,-4.0000,0.3500,165.20
3829,-1.358395,0.257073,2,0.17712881,0,0.0,-1.071268,0.397170,0.217875,2,0.3166,0.3389,0.3445,506.27,0.3166,0.0202,-2.8430,0.3905,165.90
3830,-1.525822,0.217442,2,-0.18518960,0,0.0,-1.258513,0.328253,0.177453,2,0.3119,0.3386,0.3495,508.05,0.3119,0.0184,-2.8587,0.3915,164.60
3831,-1.586774,0.204584,2,0.27609735,0,0.0,-1.210369,0.335353,0.163317,1,0.3268,0.3404,0.3328,509.69,0.3268,0.0181,-4.0000,0.3500,166.00
3832,-2.449608,0.086327,2,0.01173711,0,0.0,-1.543364,0.256478,0.155751,2,0.2722,0.3388,0.3889,495.53,0.2722,0.1021,-2.7532,0.3924,164.30
3833,-2.422339,0.088714,2,0.09817172,0,0.0,-1.763074,0.202801,0.117353,2,0.2896,0.3404,0.3701,506.07,0.2896,0.0202,-2.7779,0.3892,166.00
3834,-2.304351,0.099824,2,0.10722272,0,0.0,-1.864816,0.179200,0.096515,2,0.3033,0.3416,0.3551,508.21,0.3033,0.0184,-2.8001,0.3902,164.50
3835,-2.394862,0.091185,2,-0.10135739,0,0.0,-1.947839,0.163260,0.084805,1,0.3141,0.3433,0.3426,510.83,0.3141,0.0179,-2.5000,0.3237,164.10
3836,-2.657275,0.070139,2,0.01488246,0,0.0,-2.287960,0.123554,0.077561,1,0.3153,0.3424,0.3423,504.98,0.3153,0.0512,-2.5000,0.3500,163.30
3837,-3.148547,0.042914,2,0.01143536,0,0.0,-2.710111,0.085656,0.061106,1,0.3344,0.3418,0.3238,499.61,0.3238,0.0466,-2.5000,0.3500,169.10
3838,-2.511246,0.081167,2,-0.05541541,0,0.0,-2.640181,0.083703,0.047165,1,0.3376,0.3493,0.3131,510.83,0.3131,0.0187,-3.0000,0.3500,187.00
3839,-2.505662,0.081622,2,-0.07837950,0,0.0,-2.473392,0.094928,0.046202,1,0.3359,0.3501,0.3140,510.02,0.3140,0.0181,-2.5000,0.3500,164.00
3840,-3.145982,0.043025,2,-0.00360209,0,0.0,-2.717887,0.079857,0.049479,1,0.3168,0.3554,0.3278,502.74,0.3168,0.1013,-2.5000,0.3500,168.30
3841,-2.681277,0.068476,2,-0.01428160,0,0.0,-3.059485,0.058869,0.040096,1,0.3631,0.3669,0.2700,501.24,0.2700,0.0298,-2.5000,0.3500,165.70
3842,-2.996143,0.049979,2,-0.05843808,0,0.0,-2.792526,0.070176,0.036760,1,0.3474,0.3725,0.2800,507.82,0.2800,0.0196,-3.0000,0.3288,165.40
3843,-2.780177,0.062028,2,-0.13729782,0,0.0,-2.299779,0.110435,0.048815,1,0.3137,0.3642,0.3221,495.86,0.3137,0.0294,-2.5000,0.3500,193.50
3844,-2.521697,0.080323,2,-0.01791038,0,0.0,-2.550362,0.091695,0.052429,1,0.3330,0.3663,0.3006,503.37,0.3006,0.0355,-2.5000,0.3500,169.10
3845,-2.104661,0.121887,2,0.14062321,0,0.0,-2.147975,0.129412,0.058961,1,0.3225,0.3594,0.3181,497.70,0.3181,0.0241,-4.0000,0.3500,188.70
3846,-1.314976,0.268481,2,0.05228726,0,0.0,-2.312863,0.113363,0.059036,1,0.3353,0.3587,0.3061,508.56,0.3061,0.0196,-4.0000,0.3500,253.60
3847,-1.010150,0.364164,2,0.75681827,0,0.0,-1.563802,0.259977,0.176112,2,0.1927,0.3304,0.4769,388.96,0.1927,0.3518,-2.1245,0.3915,167.70
3848,-1.322867,0.266371,2,0.24413030,0,0.0,-1.384014,0.285786,0.147497,2,0.2457,0.3454,0.4089,488.31,0.2457,0.0212,-2.0908,0.3892,169.60
3849,-2.600936,0.074204,2,-0.01463811,0,0.0,-1.721446,0.216547,0.134603,2,0.2382,0.3368,0.4251,494.11,0.2382,0.0802,-2.0770,0.3974,168.00
3850,-2.025465,0.131933,2,0.12846825,0,0.0,-1.764676,0.197886,0.106253,2,0.2673,0.3399,0.3928,506.80,0.2673,0.0188,-2.0480,0.3945,170.00
3851,-2.398047,0.090895,2,0.00008064,0,0.0,-1.988927,0.166646,0.104709,2,0.1010,0.3108,0.5882,424.63,0.1010,0.6166,-2.0219,0.3919,179.90
3852,-2.134696,0.118281,2,0.07336068,0,0.0,-2.142174,0.138111,0.078499,2,0.1767,0.3326,0.4907,506.67,0.1767,0.0211,-2.0210,0.3892,168.40
3853,-1.459327,0.232393,2,0.67127478,0,0.0,-1.377651,0.301473,0.182465,2,0.1632,0.2988,0.5380,424.58,0.1632,0.1958,-2.1189,0.3903,164.40
3854,-1.509578,0.221003,2,-0.25766689,0,0.0,-1.282722,0.313798,0.157039,2,0.2297,0.3236,0.4467,491.13,0.2297,0.0204,-2.0550,0.3881,167.90
3855,-1.135124,0.321382,2,-0.63827104,0,0.0,-0.862200,0.465258,0.205599,2,0.2940,0.3348,0.3712,475.64,0.2940,0.0380,-2.1495,0.3875,163.30
3856,-0.972954,0.377965,2,-0.09279051,0,0.0,-1.192126,0.354401,0.198956,2,0.2780,0.3302,0.3918,496.38,0.2780,0.0293,-2.0975,0.3883,165.10
3857,-1.145125,0.318184,2,-0.27942636,0,0.0,-1.167668,0.351471,0.174405,2,0.3028,0.3381,0.3591,503.24,0.3028,0.0185,-2.0506,0.3889,164.30
3858,-0.819361,0.440713,2,-0.67223127,0,0.0,-0.775159,0.507373,0.223689,0,0.3462,0.3453,0.3085,502.94,0.3085,0.0339,-4.5000,0.1500,170.10
3859,-0.998381,0.368475,2,0.15626803,0,0.0,-1.068939,0.395572,0.212475,2,0.3160,0.3381,0.3459,502.80,0.3160,0.0215,-2.2310,0.3862,187.00
3860,-1.789324,0.167073,2,-0.04695428,0,0.0,-1.496395,0.273048,0.173687,2,0.2833,0.3278,0.3889,490.53,0.2833,0.0394,-2.3079,0.3876,163.80
3861,-1.269601,0.280944,2,-0.47425902,0,0.0,-1.041943,0.397814,0.195614,1,0.3377,0.3452,0.3171,489.28,0.3171,0.0340,-4.0000,0.3500,167.30
3862,-1.264393,0.282411,2,0.58361318,0,0.0,-0.780082,0.504671,0.222036,0,0.3797,0.3515,0.2688,505.24,0.2688,0.0250,-4.5000,0.1500,166.10
